low	high
YOR093C	0
YJL084C	0
YKR031C	0
YLR024C	0
YBL063W	0
YCR073C	0
YGR221C	0
YJL100W	0
YNL126W	0
YNR067C	0
YLR035C	0
YLR057W	0
YDR314C	0
YLR039C	0
YHR166C	0
YMR220W	0
YBR239C	0
YPR049C	0
YAL051W	0
YPL016W	0
YDL203C	0
YER098W	0
YGL006W	0
YIL002C	0
YKL075C	0
YLR210W	0
YMR019W	0
YMR198W	0
YPL008W	0
YIL084C	0
YIL092W	0
YKL145W	0
YML109W	0
YJL071W	0
YJL095W	0
YJR126C	0
YAL001C	0
YBL067C	0
YBR107C	0
YDR514C	0
YER054C	0
YGL113W	0
YGL247W	0
YKL139W	0
YLL027W	0
YLL040C	0
YLR352W	0
YLR430W	0
YLR451W	0
YMR100W	0
YMR262W	0
YNL014W	0
YNL077W	0
YOL022C	0
YOL043C	0
YOL063C	0
YOR172W	0
YPR184W	0
YER041W	0
YLR219W	0
YKL073W	0
YKL125W	0
YDR125C	0
YOR233W	0
YBR117C	0
YBR125C	0
YBR195C	0
YCL005W	0
YDL164C	0
YDR310C	0
YDR349C	0
YDR409W	0
YEL043W	0
YFR019W	0
YGL117W	0
YJL144W	0
YJR033C	0
YJR078W	0
YKL048C	0
YKR064W	0
YLR450W	0
YMR172W	0
YMR234W	0
YOR208W	0
YPL209C	0
YPR185W	0
YOR020C	0
YDR239C	0
YKL129C	0
YOL047C	0
YFR007W	0
YBL005W	0
YBR202W	0
YIL172C	0
YMR124W	0
YNL271C	0
YPL248C	0
YFR005C	0
YDR089W	0
YDR143C	0
YDR332W	0
YDR478W	0
YDR540C	0
YGL159W	0
YGR003W	0
YGR102C	0
YGR270W	0
YHL013C	0
YHR074W	0
YHR113W	0
YHR119W	0
YHR131C	0
YIL091C	0
YJL094C	0
YJR149W	0
YLR330W	0
YMR169C	0
YMR252C	0
YNR006W	0
YNR011C	0
YOR188W	0
YPR031W	0
YNL172W	0
YNL293W	0
YPL103C	0
YBL104C	0
YJL162C	0
YDR436W	0
YHR168W	0
YOR368W	0
YBR062C	0
YBR138C	0
YBR161W	0
YCR020C	0
YDL109C	0
YDR115W	0
YDR186C	0
YDR313C	0
YDR338C	0
YDR511W	0
YER037W	0
YFL060C	0
YGR046W	0
YIL001W	0
YIL088C	0
YIL108W	0
YJL149W	0
YKL038W	0
YKR054C	0
YKR089C	0
YKR096W	0
YLR419W	0
YMR032W	0
YMR267W	0
YNL086W	0
YNL234W	0
YNL275W	0
YOL025W	0
YOL055C	0
YOR227W	0
YPR013C	0
YIR008C	0
YCR066W	0
YIL129C	0
YLR001C	0
YKL072W	0
YAL022C	0
YBR271W	0
YBR289W	0
YDR207C	0
YER087C-A	0
YGL134W	0
YIL046W	0
YJL168C	0
YJR142W	0
YKR041W	0
YML016C	0
YNL091W	0
YNR031C	0
YOR290C	0
YPR167C	0
YML006C	0
YMR247C	0
YAL031C	0
YDL091C	0
YOR076C	0
YAL044W-A	0
YAR019C	0
YBR201W	0
YBR215W	0
YBR229C	0
YDR004W	0
YEL061C	0
YGR004W	0
YGR016W	0
YIR018W	0
YJL004C	0
YJL157C	0
YKL141W	0
YLR085C	0
YLR151C	0
YLR422W	0
YMR111C	0
YNR036C	0
YOL089C	0
YOL113W	0
YOR047C	0
YOR320C	0
YPL158C	0
YPL174C	0
YPL194W	0
YPR022C	0
YPR065W	0
YPL180W	0
YDR379W	0
YAL046C	0
YAL055W	0
YAR031W	0
YDL045W-A	0
YDR179W-A	0
YDR291W	0
YDR407C	0
YDR505C	0
YDR528W	0
YER104W	0
YGR056W	0
YHL007C	0
YHR079C	0
YIL159W	0
YJL062W	0
YKL064W	0
YKL137W	0
YLR403W	0
YML061C	0
YMR107W	0
YMR137C	0
YMR176W	0
YMR283C	0
YNL081C	0
YNL107W	0
YNL320W	0
YNL321W	0
YOL096C	0
YOR249C	0
YOR324C	0
YPL074W	0
YPL193W	0
YPR037C	0
YBL031W	0
YLL021W	0
YBL102W	0
YBL111C	0
YBR043C	0
YBR097W	0
YDL238C	0
YDR122W	0
YDR283C	0
YDR356W	0
YDR393W	0
YDR493W	0
YGL130W	0
YGL229C	0
YHR178W	0
YIL056W	0
YJL042W	0
YJL222W	0
YJR138W	0
YKR083C	0
YMR160W	0
YMR273C	0
YNR019W	0
YPL242C	0
YPR046W	0
YPR095C	0
YLR183C	0
YNL183C	0
YJR119C	0
YOR322C	0
YCL029C	0
YDR251W	0
YDR386W	0
YDR503C	0
YEL041W	0
YER047C	0
YER144C	0
YGL208W	0
YGR108W	0
YIR033W	0
YJL207C	0
YJR134C	0
YKL173W	0
YLL031C	0
YLR026C	0
YMR024W	0
YNL136W	0
YOR014W	0
YOR256C	0
YOR267C	0
YOR296W	0
YOR327C	0
YPR115W	0
YAL024C	0
YMR016C	0
YOR195W	0
YDL220C	0
YBR156C	0
YDL077C	0
YDR421W	0
YDR452W	0
YEL062W	0
YER024W	0
YGL156W	0
YGR088W	0
YGR232W	0
YHR138C	0
YIL173W	0
YJL110C	0
YJL131C	0
YKR020W	0
YKR044W	0
YLR071C	0
YLR310C	0
YLR381W	0
YMR199W	0
YNL309W	0
YOR025W	0
YPL179W	0
YLR105C	0
YDL146W	0
YBR070C	0
YCR011C	0
YDL176W	0
YDR159W	0
YDR333C	0
YFL030W	0
YGR052W	0
YHR057C	0
YHR189W	0
YJL210W	0
YJR008W	0
YKR010C	0
YLL054C	0
YLR049C	0
YLR383W	0
YLR457C	0
YML111W	0
YNL325C	0
YNR061C	0
YOR023C	0
YPR008W	0
YPR119W	0
YBL091C-A	0
YBR114W	0
YBR237W	0
YCR065W	0
YCR076C	0
YDL113C	0
YDR179C	0
YDR369C	0
YDR457W	0
YDR485C	0
YDR533C	0
YEL059C-A	0
YER015W	0
YHL002W	0
YKL018C-A	0
YKL068W	0
YKR085C	0
YLR050C	0
YLR423C	0
YMR048W	0
YMR093W	0
YMR106C	0
YOR081C	0
YPL085W	0
YPL101W	0
YPR172W	0
YGR094W	0
YDR240C	0
YDL117W	0
YDL132W	0
YDR191W	0
YDR200C	0
YDR532C	0
YER008C	0
YER044C	0
YGL219C	0
YGR169C	0
YHR004C	0
YLR073C	0
YLR176C	0
YLR265C	0
YML020W	0
YOR330C	0
YPL020C	0
YPR042C	0
YPR080W	0
YOR193W	0
YDR285W	0
YBL086C	0
YBR255W	0
YCR033W	0
YDR135C	0
YDR524C	0
YGL080W	0
YGL197W	0
YIL130W	0
YIL140W	0
YJL083W	0
YKL019W	0
YLR098C	0
YLR189C	0
YLR268W	0
YMR066W	0
YMR112C	0
YMR207C	0
YNL033W	0
YNL162W-A	0
YNL307C	0
YOR127W	0
YOR131C	0
YOR258W	0
YPL060W	0
YPL066W	0
YPL176C	0
